statement_id,claim,source_type,source_link_or_citation_key,verification_status,owner,last_checked_at
S011,"The current UA-MSTCN-Lite surrogate has empirical P90 coverage of 0.9199, 0.8665, and 0.8679 at the 1-, 5-, and 10-minute horizons, respectively.",local_project_artifact,paper-workbench/experiments/results/tables/quantile_coverage.csv,verified,codex,2026-03-10
S012,"A 60-minute context window gives the best average MAE (3.5476) for UA-MSTCN-Lite among the tested 30/60/120-minute settings.",local_project_artifact,paper-workbench/experiments/results/tables/ua_context_sensitivity.csv,verified,codex,2026-03-10
S013,"Removing the predictive policy's scale-out margin raises SLA violation from 0.0346 to 0.1137, and removing cooldown raises scaling actions from 589 to 1617.",local_project_artifact,paper-workbench/experiments/results/tables/policy_ablation.csv,verified,codex,2026-03-10
S014,"The high-coverage machine cohort contains 12 machines with coverage ratios between 0.9372 and 0.9472, and an average imputed ratio of 0.0581 after reindexing.",local_project_artifact,paper-workbench/data/processed/machine_cohort_top12_summary_v2018.csv,verified,codex,2026-03-11
S015,"Across the 12-machine cohort, linear regression is the strongest average point baseline with MAE 3.6335, 5.5203, and 5.9659 at the 1-, 5-, and 10-minute horizons.",local_project_artifact,paper-workbench/experiments/results/machine_cohort/tables/machine_cohort_summary.csv,verified,codex,2026-03-11
S016,"Across the 12-machine cohort, UA-MSTCN-Lite has average P90 coverage of 0.8909, 0.8527, and 0.8469 at the 1-, 5-, and 10-minute horizons.",local_project_artifact,paper-workbench/experiments/results/machine_cohort/tables/machine_cohort_quantile_coverage.csv,verified,codex,2026-03-11
S017,"In the 3-fold zero-shot transfer benchmark, pooled linear regression reaches MAE 3.6294, 5.5030, and 5.9528 on held-out machines at the 1-, 5-, and 10-minute horizons.",local_project_artifact,paper-workbench/experiments/results/machine_transfer/tables/machine_transfer_summary.csv,verified,codex,2026-03-11
S018,"In the same zero-shot transfer benchmark, pooled linear regression matches the entity-specific linear upper bound within 0.02 MAE across all three horizons.",local_project_artifact,paper-workbench/experiments/results/machine_transfer/tables/machine_transfer_summary.csv,verified,codex,2026-03-11
S019,"The global UA-MSTCN-Lite transfer model retains average P90 coverage of 0.9044, 0.8586, and 0.8529 on held-out machines.",local_project_artifact,paper-workbench/experiments/results/machine_transfer/tables/machine_transfer_quantile_coverage.csv,verified,codex,2026-03-11
S020,"The first service-level cohort extracted from official Alibaba container tables covers 2 app_du groups, 1003 containers, and a mean observed-minute coverage ratio of 0.9726.",local_project_artifact,paper-workbench/data/processed/service_cohort_top2_summary_v2018.csv,verified,codex,2026-03-11
S021,"Across the two-service cohort, UA-MSTCN-Lite achieves the lowest overall mean MAE (27.6253), ahead of random forest (28.1202), persistence (28.5998), and linear regression (29.4854).",local_project_artifact,paper-workbench/experiments/results/service_cohort_top2/tables/service_forecasting_summary.csv,verified,codex,2026-03-11
S022,"Across the two-service cohort, UA-MSTCN-Lite retains average P90 coverage of 0.8906, 0.8831, and 0.8737 at the 1-, 5-, and 10-minute horizons.",local_project_artifact,paper-workbench/experiments/results/service_cohort_top2/tables/service_quantile_coverage_summary.csv,verified,codex,2026-03-11
S023,"Across the two-service cohort, predictive control reduces average over-provisioning from 21.4354 to 16.8214 while SLA violation rises from 0.0201 to 0.0234 and scaling actions rise from 140.0 to 386.5.",local_project_artifact,paper-workbench/experiments/results/service_cohort_top2/tables/service_policy_summary.csv,verified,codex,2026-03-11
S024,"The service-level policy result is heterogeneous: predictive control improves app_141 but slightly worsens both SLA violation and over-provisioning on the burstier app_7876 service.",local_project_artifact,paper-workbench/experiments/results/service_cohort_top2/tables/service_policy_raw.csv,verified,codex,2026-03-11
S025,"The expanded service-level cohort covers 10 app_du groups, 2036 selected containers, 1970 matched containers, and a mean observed-minute coverage ratio of 0.9713.",local_project_artifact,paper-workbench/data/processed/service_cohort_top10_summary_v2018.csv,verified,codex,2026-03-11
S026,"Across the expanded 10-service cohort, UA-MSTCN-Lite achieves the lowest overall mean MAE (7.4216), ahead of random forest (7.4752), linear regression (7.7623), and persistence (8.1760).",local_project_artifact,paper-workbench/experiments/results/service_cohort_top10/tables/service_forecasting_summary.csv,verified,codex,2026-03-11
S027,"Across the expanded 10-service cohort, UA-MSTCN-Lite retains average P90 coverage of 0.8917, 0.8826, and 0.8660 at the 1-, 5-, and 10-minute horizons.",local_project_artifact,paper-workbench/experiments/results/service_cohort_top10/tables/service_quantile_coverage_summary.csv,verified,codex,2026-03-11
S028,"Across the expanded 10-service cohort, predictive control reduces average over-provisioning from 5.1767 to 4.4567 and average scaling actions from 481.2 to 428.8, while SLA violation rises from 0.0103 to 0.0434.",local_project_artifact,paper-workbench/experiments/results/service_cohort_top10/tables/service_policy_summary.csv,verified,codex,2026-03-11
S029,"On the expanded 10-service cohort, predictive control improves over-provisioning for 4 of 10 services, reduces scaling actions for 7 of 10 services, and improves SLA violation for only 1 of 10 services.",local_project_artifact,paper-workbench/experiments/results/service_cohort_top10/tables/service_policy_raw.csv,verified,codex,2026-03-11
S030,"The verified broad service cohort built from the full local container_usage mirror contains 139 app_du groups, 19,419 selected containers, and 19,269 matched containers over a common 11,520-minute span, with mean observed-minute coverage 0.9727 and mean container hit ratio 0.9932.",local_project_artifact,paper-workbench/data/processed/service_cohort_broad_summary_v2018.csv,verified,codex,2026-03-12
S031,"The top-10 overlap audit retains all 10 services from the earlier targeted cohort inside the new broad service cohort.",local_project_artifact,paper-workbench/data/processed/service_cohort_top10_overlap_audit.csv,verified,codex,2026-03-12
S032,"Across the promoted 139-service cohort, linear regression is the strongest average point forecaster with overall mean MAE 32.5705, ahead of persistence at 33.3813.",local_project_artifact,paper-workbench/experiments/results/service_cohort_broad/tables/service_forecasting_summary.csv,verified,codex,2026-03-12
S033,"Across the promoted 139-service cohort, UA-MSTCN-Lite retains average P90 coverage of 0.9210, 0.8956, and 0.8766 at the 1-, 5-, and 10-minute horizons.",local_project_artifact,paper-workbench/experiments/results/service_cohort_broad/tables/service_quantile_coverage_summary.csv,verified,codex,2026-03-12
S034,"Across the promoted 139-service cohort, predictive control raises mean SLA violation from 0.0173 to 0.0311 and mean scaling actions from 249.0 to 399.4 relative to reactive control, while mean over-provisioning falls from 56.3105 to 53.6774.",local_project_artifact,paper-workbench/experiments/results/service_cohort_broad/tables/service_policy_summary.csv,verified,codex,2026-03-12
S035,"Paired bootstrap over services shows that, on the promoted broad cohort, the equal-weighted predictive-minus-reactive SLA delta is +0.0138 with a 95% interval [0.0035, 0.0271], a stable degradation.",local_project_artifact,paper-workbench/experiments/results/service_cohort_broad/tables/service_cohort_stability_summary.csv,verified,codex,2026-03-12
S036,"Paired bootstrap over services shows that, on the promoted broad cohort, the equal-weighted predictive-minus-reactive scaling-actions delta is +150.4460 with a 95% interval [114.0495, 184.9933], while the mean over-provisioning delta remains negative at -2.6331 but its interval [-6.9527, 2.3283] crosses zero.",local_project_artifact,paper-workbench/experiments/results/service_cohort_broad/tables/service_cohort_stability_summary.csv,verified,codex,2026-03-12
S037,"The promotion audit requires the broad cohort to replace the earlier top-10 service mainline because the forecasting headline flips, the service-level scaling-actions sign flips, and the apparent over-provisioning gain is no longer stably supportable.",local_project_artifact,paper-workbench/experiments/results/service_cohort_broad/tables/service_cohort_promotion_decision.csv,verified,codex,2026-03-12
S038,"On the promoted broad cohort, predictive control improves SLA violation for only 27 of 139 services and reduces scaling actions for only 32 of 139 services, although it reduces over-provisioning for 95 of 139 services.",local_project_artifact,paper-workbench/experiments/results/service_cohort_broad/tables/service_policy_delta_by_service.csv,verified,codex,2026-03-12
